05-09 11:11:13 2104M 0 0 1010M 0 0 0.2 0.0 100 0.0 0 0 0.02 0.11 0.13
05-09 11:11:14 2104M 0 0 1010M 52.0 0 0.2 0 100 0 0 0 0.02 0.11 0.13
05-09 11:11:15 2104M 0 0 1010M 84.0 52.0 0 0 100 0 0 0 0.02 0.11 0.13
05-09 11:11:16 2104M 0 0 1010M 136 232 0 0.4 100 0 0 0 0.02 0.10 0.13
05-09 11:11:17 2156M 0 0 959M 136 100 12 0.9 88 0 0 0 0.02 0.10 0.13
05-09 11:11:18 2168M 0 0 946M 272 1168 8.1 0.2 92 0 0 0 0.02 0.10 0.13
05-09 11:11:19 2168M 0 0 946M 136 100 0 0.2 100 0 0 0 0.02 0.10 0.13
05-09 11:11:20 2168M 0 0 946M 408 300 0.2 0.2 100 0 0 0 0.02 0.10 0.13
05-09 11:11:21 2168M 0 0 946M 136 100 0 0 100 0 0 0 0.02 0.10 0.13
05-09 11:11:22 2168M 0 0 946M 272 200 0.2 0.2 100 0 0 0 0.02 0.10 0.13
05-09 11:11:23 2168M 0 0 946M 136 100 0 0.2 100 0 0 0 0.02 0.10 0.13
05-09 11:11:24 2168M 0 0 946M 136 100 0 0 100 0 0 0 0.02 0.10 0.13
05-09 11:11:25 2168M 0 0 946M 84.0 52.0 0 0.4 100 0 0 0 0.02 0.10 0.13
05-09 11:11:26 2168M 0 0 946M 376 756 0 0.2 100 0 0 0 0.02 0.10 0.13
05-09 11:11:27 2214M 0 0 901M 136 100 11 0.7 88 0 0 0 0.02 0.10 0.13
05-09 11:11:28 2244M 0 0 871M 0 0 15 1.8 83 0 0 0 0.02 0.10 0.13
05-09 11:11:29 2244M 0 0 871M 0 0 14 3.0 83 0 0 0 0.02 0.10 0.13
05-09 11:11:30 2244M 0 0 870M 0 0 14 2.5 83 0 0 0 0.02 0.10 0.13
05-09 11:11:31 2235M 0 0 879M 0 0 14 3.0 83 0 0 0 0.10 0.11 0.13
05-09 11:11:32 2237M 0 0 877M 168 104 15 2.2 83 0 0 0 0.10 0.11 0.13
05-09 11:11:33 2240M 0 0 875M 104 808 14 2.3 83 0 0 0 0.10 0.11 0.13
05-09 11:11:34 2242M 0 0 873M 0 0 14 2.7 83 0 0 0 0.10 0.11 0.13
05-09 11:11:35 2244M 0 0 870M 0 0 15 2.0 83 0 0 0 0.10 0.11 0.13
05-09 11:11:36 2235M 0 0 880M 0 0 15 2.0 83 0 0 0 0.17 0.13 0.14
05-09 11:11:37 2236M 0 0 879M 0 0 15 2.0 83 0 0 0 0.17 0.13 0.14
05-09 11:11:38 2237M 0 0 878M 0 0 14 2.5 83 0 0 0 0.17 0.13 0.14
05-09 11:11:39 2237M 0 0 878M 52.0 100 14 3.0 83 0 0 0 0.17 0.13 0.14
05-09 11:11:40 2239M 0 0 875M 52.0 100 15 2.3 83 0 0 0 0.17 0.13 0.14
05-09 11:11:41 2240M 0 0 874M 52.0 100 14 2.5 83 0 0 0 0.23 0.14 0.14
05-09 11:11:42 2243M 0 0 872M 52.0 100 15 2.3 83 0 0 0 0.23 0.14 0.14
05-09 11:11:43 2244M 0 0 871M 824 1136 14 2.7 83 0 0 0 0.23 0.14 0.14
05-09 11:11:44 2244M 0 0 870M 52.0 100 14 3.0 83 0 0 0 0.23 0.14 0.14
05-09 11:11:45 2235M 0 0 879M 136 184 15 2.0 83 0 0 0 0.23 0.14 0.14
05-09 11:11:46 2237M 0 0 878M 52.0 100 14 2.8 83 0 0 0 0.29 0.16 0.15
05-09 11:11:47 2240M 0 0 875M 52.0 100 14 2.7 83 0 0 0 0.29 0.16 0.15
05-09 11:11:48 2242M 0 0 873M 52.0 100 14 2.5 83 0 0 0 0.29 0.16 0.15
05-09 11:11:49 2244M 0 0 870M 52.0 100 15 2.3 83 0 0 0 0.29 0.16 0.15
05-09 11:11:50 2235M 0 0 880M 52.0 100 14 2.7 83 0 0 0 0.29 0.16 0.15
05-09 11:11:51 2237M 0 0 878M 52.0 100 14 3.0 83 0 0 0 0.35 0.17 0.15
05-09 11:11:52 2240M 0 0 875M 52.0 100 15 1.8 83 0 0 0 0.35 0.17 0.15
05-09 11:11:53 2242M 0 0 873M 52.0 100 14 2.3 83 0 0 0 0.35 0.17 0.15
05-09 11:11:54 2244M 0 0 870M 52.0 100 15 2.3 83 0 0 0 0.35 0.17 0.15
05-09 11:11:55 2235M 0 0 880M 52.0 100 15 2.2 83 0 0 0 0.35 0.17 0.15
05-09 11:11:56 2236M 0 0 878M 52.0 100 14 2.5 83 0 0 0 0.40 0.18 0.16
05-09 11:11:57 2237M 0 0 877M 52.0 100 15 2.0 83 0 0 0 0.40 0.18 0.16
