30-08 12:14:29 2105M    0     0  1009M    0     0  0.1 0.0 100 0.0   0   0 0.08 0.55 0.58
30-08 12:14:30 2105M    0     0  1009M    0     0    0   0 100   0   0   0 0.07 0.54 0.57
30-08 12:14:31 2105M    0     0  1009M    0     0    0   0 100   0   0   0 0.07 0.54 0.57
30-08 12:14:32 2105M    0     0  1009M    0     0    0   0 100   0   0   0 0.07 0.54 0.57
30-08 12:14:33 2105M    0     0  1009M  220  300 0.2   0 100   0   0   0 0.07 0.54 0.57
30-08 12:14:34 2105M    0     0  1009M  136  100   0   0 100   0   0   0 0.07 0.54 0.57
30-08 12:14:35 2105M    0     0  1009M  136  100   0   0 100   0   0   0 0.07 0.53 0.57
30-08 12:14:36 2105M    0     0  1009M    0     0    0   0 100   0   0   0 0.07 0.53 0.57
30-08 12:14:37 2105M    0     0  1009M    0     0    0   0 100   0   0   0 0.07 0.53 0.57
30-08 12:14:38 2156M    0     0   958M  136 84.0  15 1.0  84   0   0   0 0.07 0.53 0.57
30-08 12:14:39 2215M    0     0   900M  676  608  15 1.3  83   0   0   0 0.07 0.53 0.57
30-08 12:14:40 2193M    0     0   922M  706  645  15 2.0  83   0   0   0 0.14 0.53 0.57
30-08 12:14:41 2230M    0     0   885M  788 1020  15 2.5  82   0   0   0 0.14 0.53 0.57
30-08 12:14:42 2254M    0     0   860M  240 1120  15 2.5  83   0   0   0 0.14 0.53 0.57
30-08 12:14:43 2285M    0     0   830M    0     0   16 2.3  82   0   0   0 0.14 0.53 0.57
30-08 12:14:44 2318M    0     0   796M    0     0   14 3.0  83   0   0   0 0.14 0.53 0.57
30-08 12:14:45 2371M    0     0   744M  807  715  16 1.2  83   0   0   0 0.29 0.56 0.58
30-08 12:14:46 2389M    0     0   726M 52.0  116  16 0.8  84   0   0   0 0.29 0.56 0.58
30-08 12:14:47 2389M    0     0   726M  104  443  17   0  83   0   0   0 0.29 0.56 0.58
30-08 12:14:48 2389M    0     0   725M  104  200  17 0.3  82   0   0   0 0.29 0.56 0.58
30-08 12:14:49 2389M    0     0   725M    0     0   17   0  83   0   0   0 0.29 0.56 0.58
30-08 12:14:50 2364M    0     0   750M 37.0.0009765625 37.0.0029296875  15 1.2  83   0   0   0 0.35 0.57 0.58
30-08 12:14:51 2389M    0     0   726M 52.0  100  17 0.7  82   0   0   0 0.35 0.57 0.58
30-08 12:14:52 2389M    0     0   726M    0     0   17 0.2  83   0   0   0 0.35 0.57 0.58
30-08 12:14:53 2390M    0     0   724M    0   100  17   0  83   0   0   0 0.35 0.57 0.58
30-08 12:14:54 2390M    0     0   724M  104  100  17 0.2  83   0   0   0 0.35 0.57 0.58
