30-08 11:48:36 2104M    0     0  1010M    0     0  0.1 0.0 100 0.0   0   0    0 0.17 0.37
30-08 11:48:37 2104M    0     0  1010M    0     0    0   0 100   0   0   0    0 0.17 0.37
30-08 11:48:38 2104M    0     0  1010M  220  252   0   0 100   0   0   0    0 0.17 0.36
30-08 11:48:39 2104M    0     0  1010M  136  100 0.2   0 100   0   0   0    0 0.17 0.36
30-08 11:48:40 2104M    0     0  1010M  136  100   0 0.2 100   0   0   0    0 0.17 0.36
30-08 11:48:41 2111M    0     0  1003M  136  100 1.2 0.2  99   0   0   0    0 0.17 0.36
30-08 11:48:42 2165M    0     0   949M    0     0   16 1.0  83   0   0   0    0 0.17 0.36
30-08 11:48:43 2217M    0     0   898M  760  660  16 1.2  83   0   0   0 0.08 0.18 0.37
30-08 11:48:44 2205M    0     0   910M  622  593  15 3.1  82   0   0   0 0.08 0.18 0.37
30-08 11:48:45 2232M    0     0   882M 84.0 52.0  15 2.5  83   0   0   0 0.08 0.18 0.37
30-08 11:48:46 2283M    0     0   832M 1017 2019  15 2.5  83   0   0   0 0.08 0.18 0.37
30-08 11:48:47 2306M    0     0   809M 52.0  116  17 0.8  82   0   0   0 0.08 0.18 0.37
30-08 11:48:48 2306M    0     0   809M  408  252  16 0.3  83   0   0   0 0.15 0.19 0.37
30-08 11:48:49 2306M    0     0   809M  272  168  16 0.2  83   0   0   0 0.15 0.19 0.37
30-08 11:48:50 2306M    0     0   809M    0     0   16 0.5  83   0   0   0 0.15 0.19 0.37
30-08 11:48:51 2306M    0     0   809M    0     0   16 0.3  83   0   0   0 0.15 0.19 0.37
30-08 11:48:52 2306M    0     0   809M    0     0   17 0.2  83   0   0   0 0.15 0.19 0.37
30-08 11:48:53 2307M    0     0   808M  104  200  17 0.7  82   0   0   0 0.22 0.21 0.37
30-08 11:48:54 2307M    0     0   808M    0     0   16 0.3  83   0   0   0 0.22 0.21 0.37
30-08 11:48:55 2307M    0     0   808M    0     0   17 0.2  83   0   0   0 0.22 0.21 0.37
30-08 11:48:56 2307M    0     0   808M  104  753  16 0.3  83   0   0   0 0.22 0.21 0.37
30-08 11:48:57 2307M    0     0   808M    0     0   16 0.3  83   0   0   0 0.22 0.21 0.37
30-08 11:48:58 2307M    0     0   808M    0     0   16 0.2  84   0   0   0 0.28 0.22 0.38
30-08 11:48:59 2307M    0     0   808M  104  200  17 0.7  82   0   0   0 0.28 0.22 0.38
30-08 11:49:00 2307M    0     0   808M  208  416  17 0.2  83   0   0   0 0.28 0.22 0.38
30-08 11:49:01 2307M    0     0   808M  104  200  18 0.2  82   0   0   0 0.28 0.22 0.38
30-08 11:49:02 2307M    0     0   808M 52.0  492  16 0.2  83   0   0   0 0.28 0.22 0.38
30-08 11:49:03 2289M    0     0   825M 47.0 46.0.0068359375  15 1.5  83   0   0   0 0.34 0.23 0.38
30-08 11:49:04 2306M    0     0   809M 52.0  100  16 0.7  83   0   0   0 0.34 0.23 0.38
30-08 11:49:05 2306M    0     0   809M    0     0   17 0.2  83   0   0   0 0.34 0.23 0.38
30-08 11:49:06 2308M    0     0   806M  312 4417  18 0.2  82   0   0   0 0.34 0.23 0.38
30-08 11:49:07 2308M    0     0   806M    0     0   17   0  83   0   0   0 0.34 0.23 0.38
30-08 11:49:08 2309M    0     0   806M  156  316  16 0.7  83   0   0   0 0.39 0.24 0.38
30-08 11:49:09 2288M    0     0   826M 58.0.0029296875 58.0.001953125  15 1.7  83   0   0   0 0.39 0.24 0.38
30-08 11:49:10 2281M    0     0   834M 36.0.0068359375 36.0.005859375  15 1.5  83   0   0   0 0.39 0.24 0.38
30-08 11:49:11 2267M    0     0   848M 31.0.0009765625 31.0.0009765625  15 1.2  83   0   0   0 0.39 0.24 0.38
30-08 11:49:12 2305M    0     0   809M 52.0  100  16 1.0  83   0   0   0 0.39 0.24 0.38
30-08 11:49:13 2306M    0     0   809M    0     0   17   0  83   0   0   0 0.44 0.26 0.38
30-08 11:49:14 2306M    0     0   809M    0     0   17   0  83   0   0   0 0.44 0.26 0.38
30-08 11:49:15 2306M    0     0   808M 52.0  100  18 0.3  82   0   0   0 0.44 0.26 0.38
30-08 11:49:16 2306M    0     0   808M  260 4158  16 0.2  83   0   0   0 0.44 0.26 0.38
30-08 11:49:17 2306M    0     0   808M    0     0   17 0.2  83   0   0   0 0.44 0.26 0.38
30-08 11:49:18 2306M    0     0   808M    0     0   17   0  83   0   0   0 0.49 0.27 0.39
30-08 11:49:19 2259M    0     0   855M 37.0.001953125 37.0.00390625  17 1.0  82   0   0   0 0.49 0.27 0.39
30-08 11:49:20 2302M    0     0   813M    0     0   15 1.5  83   0   0   0 0.49 0.27 0.39
30-08 11:49:21 2305M    0     0   809M 52.0  100  16 0.5  83   0   0   0 0.49 0.27 0.39
30-08 11:49:22 2305M    0     0   809M    0     0   17 0.2  83   0   0   0 0.49 0.27 0.39
30-08 11:49:23 2305M    0     0   809M    0     0   17   0  83   0   0   0 0.53 0.28 0.39
30-08 11:49:24 2306M    0     0   809M 52.0  100  17 0.5  82   0   0   0 0.53 0.28 0.39
30-08 11:49:25 2306M    0     0   809M 52.0  100  17   0  83   0   0   0 0.53 0.28 0.39
30-08 11:49:26 2306M    0     0   809M  156 2434  17 0.2  83   0   0   0 0.53 0.28 0.39
30-08 11:49:27 2306M    0     0   809M    0     0   17   0  83   0   0   0 0.53 0.28 0.39
30-08 11:49:28 2306M    0     0   809M    0   100  17 0.2  83   0   0   0 0.56 0.29 0.39
30-08 11:49:29 2288M    0     0   827M 36.0.0029296875 36.0.001953125  17 1.0  82   0   0   0 0.56 0.29 0.39
30-08 11:49:30 2306M    0     0   809M 52.0  100  15 0.5  85   0   0   0 0.56 0.29 0.39
30-08 11:49:31 2307M    0     0   807M  104  200  17 0.2  83   0   0   0 0.56 0.29 0.39
