05-09 16:55:59 2105M 0 0 1009M 0 0 0.2 0.0 100 0.0 0 0 0.01 0.02 0
05-09 16:56:00 2105M 0 0 1009M 240 100 0 0 100 0 0 0 0.01 0.02 0
05-09 16:56:01 2105M 0 0 1009M 272 216 0.2 0 100 0 0 0 0.01 0.02 0
05-09 16:56:02 2105M 0 0 1009M 136 84.0 0 0 100 0 0 0 0.01 0.02 0
05-09 16:56:03 2147M 0 0 967M 136 84.0 9.4 0.7 90 0 0 0 0.01 0.02 0
05-09 16:56:04 2169M 0 0 945M 272 352 9.7 0.7 90 0 0 0 0.01 0.02 0
05-09 16:56:05 2169M 0 0 945M 272 200 0 0 100 0 0 0 0.01 0.02 0
05-09 16:56:06 2209M 0 0 905M 136 84.0 9.4 0.5 90 0 0 0 0.01 0.02 0
05-09 16:56:07 2236M 0 0 878M 0 0 15 1.5 83 0 0 0 0.01 0.02 0
05-09 16:56:08 2236M 0 0 878M 0 0 14 2.3 83 0 0 0 0.09 0.04 0.01
05-09 16:56:09 2234M 0 0 881M 220 828 2.5 0.2 97 0 0 0 0.09 0.04 0.01
05-09 16:56:10 2234M 0 0 881M 136 100 0.2 0 100 0 0 0 0.09 0.04 0.01
05-09 16:56:11 2234M 0 0 881M 680 420 0 0 100 0 0 0 0.09 0.04 0.01
05-09 16:56:12 2234M 0 0 881M 0 0 0 0 100 0 0 0 0.09 0.04 0.01
05-09 16:56:13 2240M 0 0 875M 0 0 13 1.5 86 0 0 0 0.16 0.05 0.01
05-09 16:56:14 2234M 0 0 881M 0 0 11 1.4 88 0 0 0 0.16 0.05 0.01
05-09 16:56:15 2234M 0 0 881M 52.0 100 0 0.2 100 0 0 0 0.16 0.05 0.01
05-09 16:56:16 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.16 0.05 0.01
05-09 16:56:17 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.16 0.05 0.01
05-09 16:56:18 2242M 0 0 872M 52.0 100 5.3 0.9 94 0 0 0 0.15 0.05 0.01
05-09 16:56:19 2245M 0 0 870M 52.0 100 15 2.3 83 0 0 0 0.15 0.05 0.01
05-09 16:56:20 2234M 0 0 881M 52.0 100 3.3 0.6 96 0 0 0 0.15 0.05 0.01
05-09 16:56:21 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.15 0.05 0.01
05-09 16:56:22 2234M 0 0 881M 0 0 0 0 100 0 0 0 0.15 0.05 0.01
05-09 16:56:23 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.14 0.05 0.01
05-09 16:56:24 2235M 0 0 880M 52.0 100 12 1.9 86 0 0 0 0.14 0.05 0.01
05-09 16:56:25 2259M 0 0 855M 52.0 164 17 2.3 81 0 0 0 0.14 0.05 0.01
05-09 16:56:26 2259M 0 0 855M 52.0 100 17 0.7 83 0 0 0 0.14 0.05 0.01
05-09 16:56:27 2262M 0 0 853M 52.0 100 17 0.2 82 0 0 0 0.14 0.05 0.01
05-09 16:56:28 2264M 0 0 850M 0 0 14 0.3 86 0 0 0 0.20 0.07 0.01
05-09 16:56:29 2245M 0 0 869M 52.0 100 18 1.1 81 0 0 0 0.20 0.07 0.01
05-09 16:56:30 2235M 0 0 879M 52.0 100 15 2.0 83 0 0 0 0.20 0.07 0.01
05-09 16:56:31 2234M 0 0 881M 52.0 100 5.8 1.3 93 0 0 0 0.20 0.07 0.01
05-09 16:56:32 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.20 0.07 0.01
05-09 16:56:33 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.19 0.06 0.01
05-09 16:56:34 2234M 0 0 881M 52.0 100 0 0.2 100 0 0 0 0.19 0.06 0.01
05-09 16:56:35 2237M 0 0 878M 0 0 9.4 1.6 89 0 0 0 0.19 0.06 0.01
05-09 16:56:36 2234M 0 0 881M 52.0 100 14 1.9 84 0 0 0 0.19 0.06 0.01
05-09 16:56:37 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.19 0.06 0.01
05-09 16:56:38 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.17 0.06 0.01
05-09 16:56:39 2259M 0 0 855M 104 264 7.2 0.7 92 0 0 0 0.17 0.06 0.01
05-09 16:56:40 2266M 0 0 849M 0 0 18 0.3 82 0 0 0 0.17 0.06 0.01
05-09 16:56:41 2267M 0 0 848M 52.0 100 26 3.0 71 0 0 0 0.17 0.06 0.01
05-09 16:56:42 2265M 0 0 850M 52.0 100 22 1.4 77 0 0 0 0.17 0.06 0.01
05-09 16:56:43 2268M 0 0 847M 52.0 100 13 0.5 0 494 0 0 0.24 0.08 0.02
05-09 16:56:44 2234M 0 0 881M 52.0 100 11 1.1 500 0 0 0 0.24 0.08 0.02
05-09 16:56:45 2234M 0 0 881M 0 0 0 0 100 0 0 0 0.24 0.08 0.02
05-09 16:56:46 2240M 0 0 875M 52.0 100 8.3 1.3 90 0 0 0 0.24 0.08 0.02
05-09 16:56:47 2240M 0 0 874M 52.0 100 14 2.3 83 0 0 0 0.24 0.08 0.02
05-09 16:56:48 2234M 0 0 881M 52.0 100 1.6 0 98 0 0 0 0.22 0.08 0.02
05-09 16:56:49 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.22 0.08 0.02
05-09 16:56:50 2234M 0 0 881M 0 0 0 0 100 0 0 0 0.22 0.08 0.02
05-09 16:56:51 2234M 0 0 881M 52.0 100 0 0 100 0 0 0 0.22 0.08 0.02
05-09 16:56:52 2268M 0 0 847M 104 248 18 2.9 80 0 0 0 0.22 0.08 0.02
