30-08 09:12:43 2096M    0     0  1018M    0     0  0.1 0.0 100 0.0   0   0    0    0    0
30-08 09:12:44 2096M    0     0  1018M    0     0    0   0 100   0   0   0    0    0    0
30-08 09:12:45 2096M    0     0  1018M 84.0 52.0   0   0 100   0   0   0    0    0    0
30-08 09:12:46 2096M    0     0  1018M  188  796 0.2 0.2 100   0   0   0    0    0    0
30-08 09:12:47 2096M    0     0  1018M    0     0    0   0 100   0   0   0    0    0    0
30-08 09:12:48 2120M    0     0   995M  136  100 5.6 0.2   - 486   0   0    0    0    0
30-08 09:12:49 2158M    0     0   956M    0     0   13 1.0 442   -   0   0    0    0    0
30-08 09:12:50 2160M    0     0   954M    0     0  0.8   0  99   0   0   0    0    0    0
30-08 09:12:51 2160M    0     0   954M 84.0 52.0   0 0.2 100   0   0   0    0    0    0
30-08 09:12:52 2160M    0     0   954M    0     0    0   0 100   0   0   0    0    0    0
30-08 09:12:53 2160M    0     0   954M  292  580   0   0 100   0   0   0    0    0    0
30-08 09:12:54 2160M    0     0   954M 84.0 52.0   0   0 100   0   0   0    0    0    0
30-08 09:12:55 2160M    0     0   954M  136 1320 0.2 0.2 100   0   0   0    0    0    0
30-08 09:12:56 2160M    0     0   954M    0     0    0   0 100   0   0   0    0    0    0
30-08 09:12:57 2160M    0     0   954M    0     0    0   0 100   0   0   0    0    0    0
30-08 09:12:58 2203M    0     0   911M  136 84.0  11 1.4  88   0   0   0    0    0    0
30-08 09:12:59 2254M    0     0   860M  676  608  15 1.0  84   0   0   0    0    0    0
30-08 09:13:00 2225M    0     0   890M  706  645  12 1.2  87   0   0   0    0    0    0
30-08 09:13:01 2246M    0     0   868M  344 1368 7.1 1.5   - 471   0   0    0    0    0
30-08 09:13:02 2295M    0     0   820M  808  716  15 1.0 431   -   0   0 0.08 0.02 0.01
30-08 09:13:03 2314M    0     0   801M    0     0   14 1.8  84   0   0   0 0.08 0.02 0.01
30-08 09:13:04 2311M    0     0   803M 34.0.005859375 34.0.0048828125  19 1.3  80   0   0   0 0.08 0.02 0.01
30-08 09:13:05 2384M    0     0   731M  676  608  25 3.0  72   0   0   0 0.08 0.02 0.01
